loan_amnt,dti,delinq_2yrs,fico_range_low,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,grade_num,sub_grade_num,term_60,emp_length_num,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_small_business,purpose_vacation,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,log_annual_inc,log_revol_bal,log_loan_amnt,gbm_prob,rf_prob,risk_tier,actual_default
9300.0,6.14,0,680,2,23,0,44.7,39,5,23,0,6,1,0,0,0,0,0,0,0,0,0,0,0,11.000531946032076,6.405228458030842,9.137877200242468,0.6355,0.6743,High,1
5000.0,7.05,1,815,3,19,0,47.2,29,6,27,0,10,1,0,0,0,0,0,0,0,0,0,0,0,9.90353755128617,6.731018100482083,8.517393171418904,0.3321,0.4365,Medium,0
9200.0,7.37,1,785,0,26,0,49.0,29,4,20,0,4,1,0,0,0,0,0,0,0,0,0,0,1,11.487412766201093,10.257834789465685,9.12706745278236,0.2331,0.4515,High,0
9800.0,15.1,3,765,6,10,0,42.2,20,4,19,0,10,1,0,0,0,0,0,0,0,0,0,0,0,9.90353755128617,7.592366128519796,9.19023970026918,0.2206,0.3928,Medium,0
27800.0,8.21,0,820,1,11,0,53.0,20,4,20,0,5,0,1,0,0,0,0,0,0,0,0,0,0,11.098772728464498,8.193400231952097,10.2328272702548,0.6705,0.6701,High,0
28100.0,20.43,0,780,1,14,0,49.6,25,4,17,1,0,0,1,0,0,0,0,0,0,0,0,0,1,11.543134541174716,10.107570601111597,10.24356044187724,0.2608,0.4141,Medium,1
13100.0,28.92,2,740,7,23,0,25.9,24,5,21,1,2,0,0,0,0,0,0,0,0,1,0,0,0,11.484536278461452,10.490273717104664,9.48044384215367,0.258,0.6128,High,0
8300.0,25.06,3,700,3,10,0,49.1,13,2,7,1,5,0,1,0,0,0,0,0,0,0,0,0,0,10.988034722879403,7.224753405767971,9.024131268455037,0.284,0.3007,Medium,0
9900.0,7.32,0,640,5,26,0,29.6,30,2,9,0,10,0,1,0,0,0,0,0,0,0,0,0,0,10.374834029757803,7.418780882750794,9.200391041122517,0.1893,0.1917,Low,0
11800.0,21.56,3,800,4,21,0,55.7,24,2,8,1,8,0,0,1,0,0,0,0,0,0,0,0,1,10.898053276749138,8.85978949474541,9.375939552625749,0.086,0.1171,Low,0
14800.0,18.54,0,710,1,11,0,44.5,19,4,16,0,10,0,1,0,0,0,0,0,0,0,0,0,1,11.452070816699738,9.668777364850452,9.60245002503719,0.3507,0.4183,Medium,0
35000.0,14.8,2,840,1,25,0,42.2,32,3,13,0,1,0,0,1,0,0,0,0,0,0,0,0,1,11.642004460368463,8.262816937670928,10.463131911491969,0.0912,0.3171,Medium,0
23000.0,28.86,0,650,0,12,0,41.9,17,2,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10.52323035951266,8.11162807830774,10.043292972227004,0.4046,0.3073,Medium,1
11600.0,14.66,0,730,6,3,0,30.0,12,3,15,1,10,0,1,0,0,0,0,0,0,0,0,0,0,10.566175525611364,8.734399150063695,9.358846580275406,0.2201,0.2917,Medium,0
34400.0,19.69,2,675,2,10,0,35.8,25,3,12,0,9,0,1,0,0,0,0,0,0,0,0,0,0,10.985021499669486,8.183955717304954,10.445840912706414,0.7083,0.5874,High,1
12100.0,18.49,0,655,0,11,1,6.4,22,2,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11.158419595459192,10.00061426326685,9.401043372798052,0.0714,0.2595,Medium,0
20000.0,6.54,4,820,1,26,0,31.0,42,3,12,0,7,0,0,0,0,0,0,0,1,0,0,0,0,10.900288575057552,8.537387898701757,9.90353755128617,0.2088,0.5552,High,0
7000.0,7.03,0,815,0,17,2,73.9,31,6,27,1,1,0,0,0,1,0,0,0,0,0,0,0,0,12.871429733758609,8.081165777725433,8.853808274977197,0.2772,0.5576,High,0
18500.0,9.05,0,845,0,6,0,50.4,20,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,10.758859869440863,6.461468176353717,9.825580063659602,0.1782,0.1434,Low,0
11200.0,22.44,0,705,5,23,0,32.1,30,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,11.168150858861294,8.873888135154973,9.32375833901174,0.1037,0.2067,Low,0
